series_id,title,release_year,status,platform,ott_availability,weekday_slot,time_slot_kr,episodes,avg_episode_length_min,total_runtime_min,genres,ip_source,director,writer,lead_actor,lead_actress,start_date,end_date,imdb_rating,mydramalist_rating,synopsis,ingestion_ts,last_updated_ts
KDR-001197,Season of Daegu,2022,Completed,KBS2,Apple TV+;Disney+;Prime Video,Mon-Tue,21:00,12,60,720,Comedy,Webtoon,Jung Hyun-woo,Jung Min-jae,Kang Ji-hoon,Kang Ji-hoon,2022-09-01,2022-10-20,8.5,8.1,"Season of Daegu: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000527,Misty Season,2019,Completed,Netflix,Prime Video,Sat-Sun,21:00,12,55,660,Mystery;Thriller,Web Novel,Kim Min-jae,Park Ji-eun,Jung Yoon-seo,Kim Hye-jin,2019-08-09,2019-09-27,7.0,8.5,"Misty Season: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000394,The Misty Season,2018,Completed,Netflix,Disney+,Fri-Sat,21:00,12,60,720,Action;Fantasy,Based on Novel,Choi Yoon-seo,Lee Hyun-woo,Park Ji-hoon,Lee Yoon-seo,2018-09-17,2018-11-05,7.6,7.8,"The Misty Season: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001405,Daegu Echo,2018,Completed,JTBC,Netflix,Wed-Thu,21:00,16,60,960,Romance,Based on Novel,Jung Yoon-seo,Kim Min-jae,Kang Seo-jun,Kang Min-jae,2018-06-14,2018-08-16,7.3,8.1,"Daegu Echo: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000434,Daegu Love,2016,Completed,Netflix,TVING;Viki,Sat-Sun,21:00,10,60,600,Fantasy;Legal,Based on Novel,Kim Min-jae,Kim Yoon-seo,Choi Yoon-seo,Kim Hye-jin,2016-09-26,2016-11-07,6.7,7.7,"Daegu Love: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000577,Echo of Jeju,2024,Completed,JTBC,Apple TV+;Netflix;Prime Video,Sat-Sun,21:00,16,70,1120,Action;Fantasy;Legal,Web Novel,Lee Seo-jun,Lee Hye-jin,Lee Seo-yeon,Kim Yoon-seo,2024-03-18,2024-05-20,7.5,8.3,"Echo of Jeju: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001212,Daegu Promise,2023,Completed,Prime Video,Apple TV+;Disney+;TVING,Mon-Tue,21:00,12,70,840,Action;Comedy,Web Novel,Lee Min-jae,Kang Yoon-seo,Lee Seo-yeon,Kim Seo-yeon,2023-04-06,2023-05-25,8.6,8.6,"Daegu Promise: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000430,Promise of Incheon,2021,Completed,tvN,Prime Video;Viki,Sat-Sun,22:00,12,60,720,Medical,Based on Novel,Kang Hyun-woo,Kang Hye-jin,Kim Yoon-seo,Park Seo-yeon,2021-02-26,2021-04-16,7.5,8.6,"Promise of Incheon: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000612,Lonely City,2021,Completed,Prime Video,Prime Video;TVING,Wed-Thu,21:00,16,60,960,Legal;Thriller,Original,Choi Hyun-woo,Choi Ji-eun,Choi Yoon-seo,Lee Hyun-woo,2021-06-20,2021-08-22,7.4,7.7,"Lonely City: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000531,Silent Garden,2025,Ongoing,Disney+,Viki,Wed-Thu,21:30,12,55,660,Action,Remake (JP),Choi Ji-eun,Park Seo-jun,Choi Hye-jin,Lee Seo-yeon,2025-02-12,2025-04-02,7.5,8.5,"Silent Garden: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
