show_id,title,original_title_ko,year_start,year_end,seasons,episodes,per_episode_runtime_min,maturity_rating,production_company,original_network,netflix_label,genres,main_cast,description,country,netflix_url,source,subrating_violence,subrating_language,subrating_sex,available_us,available_ca,available_uk,available_kr,availability_last_checked
queen-of-tears,Queen of Tears,눈물의 여왕,2024,2024,1,16,78,TV-14,Studio Dragon / Hwa&Dam Pictures,tvN,Exclusive international distribution,Romance;Drama,Kim Soo-hyun; Kim Ji-won; Park Sung-hoon,A chaebol heiress and her husband fight to save their marriage and family empire.,South Korea,https://www.netflix.com/tudum/queen-of-tears,Netflix Tudum; Wikipedia,None,None,Moderate,True,False,True,False,2025-09-04
alchemy-of-souls,Alchemy of Souls,환혼,2022,2023,2,30,75,TV-14,Studio Dragon / High Quality,tvN,Exclusive international distribution,Fantasy;Romance;Action,Lee Jae-wook; Jung So-min; Go Youn-jung; Hwang Min-hyun,"In a country where mages can swap souls, two young sorcerers confront fate and forbidden love.",South Korea,https://www.netflix.com/title/81517188,Netflix; Wikipedia,Strong,None,Moderate,True,True,True,False,2025-09-04
hometown-cha-cha-cha,Hometown Cha-Cha-Cha,갯마을 차차차,2021,2021,1,16,76,TV-14,Studio Dragon,tvN,Exclusive international distribution,Romance;Slice of Life,Shin Min-a; Kim Seon-ho; Lee Sang-yi,A big-city dentist opens a practice in a seaside village and falls for its warm-hearted handyman.,South Korea,https://www.netflix.com/title/81473182,Netflix; Wikipedia,None,None,Moderate,True,True,True,False,2025-09-04
crash-landing-on-you,Crash Landing on You,사랑의 불시착,2019,2020,1,16,79,TV-14,Studio Dragon,tvN,Exclusive international distribution,Romance;Comedy;Drama,Hyun Bin; Son Ye-jin; Seo Ji-hye,A South Korean heiress crash-lands in North Korea and is protected by an army officer.,South Korea,https://www.netflix.com/title/81159258,Netflix; Wikipedia,None,None,Moderate,False,False,False,True,2025-09-04
it-s-okay-to-not-be-okay,It's Okay to Not Be Okay,사이코지만 괜찮아,2020,2020,1,16,73,TV-14,Studio Dragon,tvN,Exclusive international distribution,Romance;Melodrama,Kim Soo-hyun; Seo Yea-ji; Oh Jung-se,An antisocial children's book author and a psychiatric ward caregiver heal each other's wounds.,South Korea,https://www.netflix.com/title/81243992,Netflix; Netflix Media Center,None,None,Moderate,True,True,True,True,2025-09-04
start-up,Start-Up,스타트업,2020,2020,1,16,73,TV-14,Studio Dragon,tvN,Exclusive international distribution,Romance;Business;Drama,Bae Suzy; Nam Joo-hyuk; Kim Seon-ho,Young entrepreneurs compete and find love in Korea’s Silicon Valley.,South Korea,https://www.netflix.com/title/81290293,Netflix; Wikipedia,None,None,Moderate,True,False,False,False,2025-09-04
vincenzo,Vincenzo,빈센조,2021,2021,1,20,80,TV-MA,Studio Dragon,tvN,Exclusive international distribution,Dark Comedy;Crime;Drama,Song Joong-ki; Jeon Yeo-been; Ok Taec-yeon,A Korean-Italian consigliere wages war on a corrupt conglomerate with unorthodox justice.,South Korea,https://www.netflix.com/title/81365087,Netflix; Wikipedia,Strong,Strong,None,False,False,False,False,2025-09-04
mr-sunshine,Mr. Sunshine,미스터 션샤인,2018,2018,1,24,75,TV-14,Studio Dragon / Hwa&Dam Pictures,tvN,Exclusive international distribution,Historical;Romance;Melodrama,Lee Byung-hun; Kim Tae-ri; Yoo Yeon-seok,A U.S. Marine of Korean birth returns to Joseon and falls for an aristocrat’s daughter amid turmoil.,South Korea,https://www.netflix.com/title/80991107,Netflix; Wikipedia,Moderate,None,Moderate,True,False,True,True,2025-09-04
memories-of-the-alhambra,Memories of the Alhambra,알함브라 궁전의 추억,2018,2019,1,16,70,TV-14,Studio Dragon,tvN,Exclusive international distribution,Thriller;Sci-Fi;Romance,Hyun Bin; Park Shin-hye,"A CEO is drawn into a dangerous AR game centered on mysterious events in Granada, Spain.",South Korea,https://www.netflix.com/title/81011211,Netflix; Wikipedia,Strong,None,Moderate,True,False,True,True,2025-09-04
navillera,Navillera,나빌레라,2021,2021,1,12,64,TV-14,Studio Dragon,tvN,Exclusive international distribution,Drama;Slice of Life,Park In-hwan; Song Kang; Na Moon-hee,A 70-year-old man pursues his dream of ballet with help from a young dancer.,South Korea,https://www.netflix.com/title/81343741,Netflix; Wikipedia,None,None,Moderate,True,False,True,True,2025-09-04
love-alarm,Love Alarm,좋아하면 울리는,2019,2021,2,14,51,TV-14,Studio Dragon,Netflix,Netflix Original,Romance;Teen;Drama,Kim So-hyun; Jung Ga-ram; Song Kang,A dating app alerts users if someone within 10 meters has romantic feelings for them.,South Korea,https://www.netflix.com/title/80168068,Netflix; Wikipedia,None,None,Moderate,True,True,False,False,2025-09-04
designated-survivor-60-days,Designated Survivor: 60 Days,"60일, 지정생존자",2019,2019,1,16,66,TV-14,Studio Dragon,tvN,Exclusive international distribution,Political;Thriller;Drama,Ji Jin-hee; Heo Joon-ho; Kang Han-na,"After an attack wipes out the cabinet, an unassuming minister must lead the nation for 60 days.",South Korea,https://www.netflix.com/title/81036517,Netflix; Wikipedia,Strong,None,None,True,True,True,False,2025-09-04
abyss,Abyss,어비스,2019,2019,1,16,60,TV-14,Studio Dragon,tvN,Exclusive international distribution,Fantasy;Romance;Comedy,Park Bo-young; Ahn Hyo-seop,Two people resurrected in new bodies solve the mystery of their own deaths.,South Korea,https://www.netflix.com/title/81031064,Netflix; Wikipedia,Moderate,None,Moderate,False,False,True,True,2025-09-04
stranger-secret-forest,Stranger (Secret Forest),비밀의 숲,2017,2020,2,32,70,TV-14,Studio Dragon,tvN,Exclusive international distribution,Thriller;Crime;Legal,Cho Seung-woo; Bae Doona,An emotionless prosecutor and a principled detective expose corruption in the prosecutor’s office.,South Korea,https://www.netflix.com/title/80180171,Netflix; Wikipedia,Strong,Moderate,None,False,False,True,True,2025-09-04
little-women,Little Women,작은 아씨들,2022,2022,1,12,65,TV-14,Studio Dragon,tvN,Exclusive international distribution,Mystery;Thriller;Drama,Kim Go-eun; Nam Ji-hyun; Park Ji-hu,Three sisters become entangled in a conspiracy involving a rich family and missing money.,South Korea,https://www.netflix.com/title/81536056,Netflix; Wikipedia,Strong,None,None,True,True,False,True,2025-09-04
