series_id,season_number,episode_number,episode_part,episode_title,air_date,runtime_min,episode_rating_imdb,viewership_pct,writer,director
KDR-001197,1,1,B,Ep 1: Afterglow,2022-09-01,70,8.3,6.8,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,2,,Ep 2: Afterglow,2022-09-09,44,8.4,7.8,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,3,B,Ep 3: Crossroads,2022-09-08,56,8.7,8.9,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,4,,Ep 4: Crossroads,2022-09-16,53,8.3,4.7,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,5,A,Ep 5: Afterglow,2022-09-15,64,8.0,9.8,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,6,,Ep 6: Crossroads,2022-09-23,53,9.1,10.4,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,7,B,Ep 7: First Snow,2022-09-22,59,8.9,5.4,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,8,,Ep 8: Afterglow,2022-09-30,58,9.1,10.3,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,9,,Ep 9: First Snow,2022-09-29,63,8.8,8.1,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,10,,Ep 10: First Snow,2022-10-07,56,8.3,7.2,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,11,,Ep 11: Confession,2022-10-06,58,8.4,6.1,Jung Min-jae,Jung Hyun-woo
KDR-001197,1,12,B,Ep 12: First Snow,2022-10-14,57,8.5,8.1,Jung Min-jae,Jung Hyun-woo
KDR-000527,1,1,B,Ep 1: Promise,2019-08-09,56,6.4,12.7,Park Ji-eun,Kim Min-jae
KDR-000527,1,2,,Ep 2: Confession,2019-08-17,62,6.5,7.0,Park Ji-eun,Kim Min-jae
KDR-000527,1,3,B,Ep 3: Collision,2019-08-16,53,7.4,8.1,Park Ji-eun,Kim Min-jae
KDR-000527,1,4,,Ep 4: First Snow,2019-08-24,48,7.0,8.6,Park Ji-eun,Kim Min-jae
KDR-000527,1,5,A,Ep 5: Afterglow,2019-08-23,44,7.2,3.6,Park Ji-eun,Kim Min-jae
KDR-000527,1,6,,Ep 6: Goodbye,2019-08-31,59,7.2,11.6,Park Ji-eun,Kim Min-jae
KDR-000527,1,7,A,Ep 7: Collision,2019-08-30,57,7.5,8.2,Park Ji-eun,Kim Min-jae
KDR-000527,1,8,A,Ep 8: Confession,2019-09-07,49,7.2,7.3,Park Ji-eun,Kim Min-jae
KDR-000527,1,9,,Ep 9: First Snow,2019-09-06,45,6.7,12.4,Park Ji-eun,Kim Min-jae
KDR-000527,1,10,B,Ep 10: Echoes,2019-09-14,54,6.7,15.3,Park Ji-eun,Kim Min-jae
KDR-000527,1,11,A,Ep 11: Echoes,2019-09-13,51,6.6,13.3,Park Ji-eun,Kim Min-jae
KDR-000527,1,12,,Ep 12: Goodbye,2019-09-21,52,7.2,9.6,Park Ji-eun,Kim Min-jae
KDR-000394,1,1,,Ep 1: First Snow,2018-09-17,63,8.1,9.1,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,2,,Ep 2: Confession,2018-09-25,66,7.3,9.9,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,3,B,Ep 3: First Snow,2018-09-24,55,7.9,1.1,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,4,B,Ep 4: Goodbye,2018-10-02,49,8.3,10.9,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,5,,Ep 5: Goodbye,2018-10-01,53,7.4,5.4,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,6,A,Ep 6: Confession,2018-10-09,64,7.5,4.8,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,7,,Ep 7: Promise,2018-10-08,56,8.1,6.9,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,8,A,Ep 8: Collision,2018-10-16,54,7.7,8.1,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,9,B,Ep 9: First Snow,2018-10-15,65,8.0,3.4,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,10,,Ep 10: Echoes,2018-10-23,62,7.6,10.9,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,11,,Ep 11: Confession,2018-10-22,50,7.9,5.5,Lee Hyun-woo,Choi Yoon-seo
KDR-000394,1,12,,Ep 12: First Snow,2018-10-30,60,8.3,7.6,Lee Hyun-woo,Choi Yoon-seo
KDR-001405,1,1,B,Ep 1: Afterglow,2018-06-14,73,8.1,7.7,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,2,,Ep 2: Crossroads,2018-06-22,48,7.6,0.6,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,3,,Ep 3: Afterglow,2018-06-21,58,7.5,9.8,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,4,B,Ep 4: Crossroads,2018-06-29,59,7.4,10.2,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,5,,Ep 5: Goodbye,2018-06-28,50,7.4,8.6,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,6,B,Ep 6: Goodbye,2018-07-06,70,7.3,3.8,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,7,,Ep 7: Confession,2018-07-05,57,8.0,7.3,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,8,A,Ep 8: Collision,2018-07-13,62,7.4,6.2,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,9,,Ep 9: First Snow,2018-07-12,64,7.2,4.3,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,10,B,Ep 10: Crossroads,2018-07-20,69,7.3,10.8,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,11,,Ep 11: Echoes,2018-07-19,57,6.7,7.3,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,12,,Ep 12: Crossroads,2018-07-27,65,7.4,9.0,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,13,A,Ep 13: Afterglow,2018-07-26,52,7.5,5.3,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,14,A,Ep 14: First Snow,2018-08-03,61,7.5,6.1,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,15,B,Ep 15: Collision,2018-08-02,65,7.1,5.4,Kim Min-jae,Jung Yoon-seo
KDR-001405,1,16,,Ep 16: Echoes,2018-08-10,54,7.6,3.8,Kim Min-jae,Jung Yoon-seo
