table,column,type,description,example
kdrama_series,series_id,string (primary key),Stable unique id for each series; referenced by child tables.,KDR-001197
kdrama_series,title,string,Series title (synthetic).,Season of Daegu
kdrama_series,release_year,int,Year of first broadcast.,2022
kdrama_series,status,string (Completed|Ongoing),Broadcast status at time of generation.,Completed
kdrama_series,platform,string,Primary Korean broadcaster or OTT platform.,KBS2
kdrama_series,ott_availability,string (semicolon-separated list),Where the show streams; semicolon-delimited for explode demos.,Apple TV+;Disney+;Prime Video
kdrama_series,weekday_slot,string (Mon-Tue|Wed-Thu|Fri-Sat|Sat-Sun),Typical K-drama weekday pairing for broadcasts.,Mon-Tue
kdrama_series,time_slot_kr,string (HH:MM),KST broadcast start time.,21:00
kdrama_series,episodes,int,Planned/observed episode count for the series.,12
kdrama_series,avg_episode_length_min,int (minutes),Average minutes per episode.,60
kdrama_series,total_runtime_min,int (minutes),episodes × avg_episode_length_min.,720
kdrama_series,genres,string (semicolon-separated list),One or more genres; semicolon-delimited.,Comedy
kdrama_series,ip_source,string (Original|Webtoon|... ),Origin of the story/IP.,Webtoon
kdrama_series,director,string (Person Name),Primary director.,Jung Hyun-woo
kdrama_series,writer,string (Person Name),Primary writer/showrunner.,Jung Min-jae
kdrama_series,lead_actor,string (Person Name),Top-billed male-presenting role (synthetic).,Kang Ji-hoon
kdrama_series,lead_actress,string (Person Name),Top-billed female-presenting role (synthetic).,Kang Ji-hoon
kdrama_series,start_date,date (YYYY-MM-DD),Approx broadcast start date.,2022-09-01
kdrama_series,end_date,date (YYYY-MM-DD),Approx broadcast end date (derived).,2022-10-20
kdrama_series,imdb_rating,"float (0-10, 1 dec)",Series-level rating (synthetic).,8.5
kdrama_series,mydramalist_rating,"float (0-10, 1 dec)",Series-level rating (synthetic).,8.1
kdrama_series,synopsis,string (short plot),Short blurb for text processing demos.,"Season of Daegu: secrets, lies, and late-night ramen."
kdrama_series,ingestion_ts,timestamp (ISO8601),When the record was created (synthetic).,2025-09-04T14:46:28Z
kdrama_series,last_updated_ts,timestamp (ISO8601),When the record was last updated (synthetic).,2025-09-04T14:46:28Z
kdrama_series,production_company,string,"Primary production company responsible for the series (e.g., Studio Dragon).",Studio Dragon
