series_id,person_id,person_name,role_type,character_name,episodes_appeared,agency,is_guest
KDR-001197,P258902,Jung Min-jae,Guest,Yoon Seojin,10,JYP,False
KDR-001197,P346969,Kim Ji-hoon,Guest,Lee Taeyang,3,BH Ent.,True
KDR-001197,P795281,Yoon Seo-yeon,Guest,Yoon Joon,9,P Nation,True
KDR-001197,P863579,Im Min-jae,Lead,Song Hyejin,9,Cube,True
KDR-001197,P579833,Yoon Hyun-woo,Lead,Choi Harin,4,BH Ent.,False
KDR-001197,P490763,Kang Ji-eun,Support,Choi Jiwon,8,BH Ent.,False
KDR-001197,P401685,Jung Ji-eun,Lead,Kang Taeyang,5,Cube,False
KDR-000527,P552254,Kang Min-jae,Guest,Kim Jisoo,2,Cube,False
KDR-000527,P172437,Jung Ji-hoon,Guest,Ahn Minho,10,JYP,True
KDR-000527,P893243,Choi Seo-jun,Support,Park Eunwoo,9,P Nation,False
KDR-000527,P598208,Lee Seo-yeon,Cameo,Kang Hana,1,KeyEast,False
KDR-000527,P531029,Lee Seo-yeon,Cameo,Yoon Joon,5,Jellyfish,False
KDR-000527,P367924,Jang Hye-jin,Guest,Song Seojin,7,JYP,False
KDR-000394,P791627,Jang Seo-jun,Cameo,Ahn Minho,12,Jellyfish,False
KDR-000394,P392443,Jung Min-jae,Cameo,Han Hana,7,JYP,True
KDR-000394,P335077,Jung Hyun-woo,Guest,Choi Minho,6,SOOP,False
KDR-000394,P956073,Cho Ji-hoon,Support,Park Taeyang,11,BH Ent.,False
KDR-000394,P923527,Cho Seo-yeon,Cameo,Ahn Harin,4,KeyEast,False
KDR-000394,P400107,Yoon Seo-yeon,Support,Han Harin,4,YG,True
KDR-000394,P753407,Jang Hye-jin,Lead,Park Jiwon,5,C-JeS,False
KDR-001405,P792770,Lee Min-jae,Lead,Jung Hana,15,Cube,True
KDR-001405,P657200,Yoon Ji-hoon,Guest,Jung Jisoo,8,YG,True
KDR-001405,P938312,Im Ji-eun,Cameo,Lee Hyejin,6,JYP,False
KDR-001405,P457688,Jang Seo-jun,Lead,Park Hyejin,9,SOOP,True
KDR-001405,P687642,Park Min-jae,Cameo,Jung Taeyang,6,C-JeS,True
KDR-001405,P259195,Kang Seo-yeon,Lead,Kim Jiwon,3,KeyEast,False
KDR-001405,P789712,Yoon Min-jae,Cameo,Kang Jiwon,10,C-JeS,True
KDR-000434,P660562,Kim Min-jae,Support,Park Eunwoo,10,YG,False
KDR-000434,P877572,Jang Hye-jin,Guest,Kim Seojin,5,C-JeS,False
KDR-000434,P242502,Jung Ji-eun,Lead,Ahn Taeyang,7,JYP,False
KDR-000434,P999285,Yoon Yoon-seo,Support,Choi Jisoo,4,Cube,False
KDR-000434,P347360,Im Hyun-woo,Guest,Lee Eunwoo,7,Jellyfish,False
KDR-000434,P876483,Choi Seo-yeon,Support,Yoon Jisoo,4,JYP,False
KDR-000434,P768140,Jang Seo-yeon,Guest,Song Joon,2,P Nation,False
KDR-000434,P152797,Im Min-jae,Support,Han Hana,6,KeyEast,True
KDR-000577,P795271,Choi Seo-jun,Cameo,Park Taeyang,8,SOOP,False
KDR-000577,P721202,Choi Ji-hoon,Cameo,Song Jiwon,9,Jellyfish,False
KDR-000577,P386552,Choi Seo-jun,Cameo,Yoon Harin,13,P Nation,True
KDR-000577,P644252,Choi Ji-hoon,Lead,Choi Hana,12,BH Ent.,True
KDR-000577,P669200,Choi Seo-yeon,Cameo,Lee Seojin,10,BH Ent.,False
